GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
11001005001,140,11,001,47900,548,,,Census Tract 50.01,1955,1003,1783,825,1955,1783
11001005900,140,11,001,47900,548,,,Census Tract 59,2998,1868,1856,711,2998,1856
11001007803,140,11,001,47900,548,,,Census Tract 78.03,3293,1652,3092,1617,3293,3092
11001007804,140,11,001,47900,548,,,Census Tract 78.04,3446,1378,3390,1355,3446,3390
11001007806,140,11,001,47900,548,,,Census Tract 78.06,2347,1102,2133,1048,2347,2133
11001007807,140,11,001,47900,548,,,Census Tract 78.07,2139,906,1911,880,2139,1911
11001007808,140,11,001,47900,548,,,Census Tract 78.08,3646,1598,4012,1671,3646,4012
11001008002,140,11,001,47900,548,,,Census Tract 80.02,3031,1644,3104,1639,3031,3104
11001008200,140,11,001,47900,548,,,Census Tract 82,2918,1655,2505,1675,2918,2505
11001008702,140,11,001,47900,548,,,Census Tract 87.02,1599,902,1916,900,1599,1916
11001008802,140,11,001,47900,548,,,Census Tract 88.02,4119,1999,4160,1975,4119,4160
11001008803,140,11,001,47900,548,,,Census Tract 88.03,2037,612,1918,625,2037,1918
11001008804,140,11,001,47900,548,,,Census Tract 88.04,2412,1396,2277,1411,2412,2277
11001009204,140,11,001,47900,548,,,Census Tract 92.04,2557,1369,2322,1314,2557,2322
11001009301,140,11,001,47900,548,,,Census Tract 93.01,3143,1230,3305,1238,3143,3305
11001010400,140,11,001,47900,548,,,Census Tract 104,4365,1828,3984,1773,4365,3984
11001010500,140,11,001,47900,548,,,Census Tract 105,3410,2347,3288,1915,3410,3288
11001010600,140,11,001,47900,548,,,Census Tract 106,3933,1927,3298,1416,3933,3298
11001010700,140,11,001,47900,548,,,Census Tract 107,1838,1413,1638,1231,1838,1638
11001010800,140,11,001,47900,548,,,Census Tract 108.00,6408,1115,4361,1371,6408,4361
11001000600,140,11,001,47900,548,,,Census Tract 6,4539,2234,4919,2214,4539,4919
11001000701,140,11,001,47900,548,,,Census Tract 7.01,4620,3275,4395,3097,4620,4395
11001003301,140,11,001,47900,548,,,Census Tract 33.01,3198,1578,2707,1223,3198,2707
11001003302,140,11,001,47900,548,,,Census Tract 33.02,2134,982,1830,816,2134,1830
11001004202,140,11,001,47900,548,,,Census Tract 42.02,2771,1915,2889,1993,2771,2889
11001004802,140,11,001,47900,548,,,Census Tract 48.02,2922,1561,2853,1307,2922,2853
11001007708,140,11,001,47900,548,,,Census Tract 77.08,2486,1262,2706,1270,2486,2706
11001007709,140,11,001,47900,548,,,Census Tract 77.09,2007,1144,1979,1117,2007,1979
11001008100,140,11,001,47900,548,,,Census Tract 81,2910,1549,2527,1453,2910,2527
11001008701,140,11,001,47900,548,,,Census Tract 87.01,2407,972,2415,926,2407,2415
11001010200,140,11,001,47900,548,,,Census Tract 102,2324,1654,2444,1764,2324,2444
11001010300,140,11,001,47900,548,,,Census Tract 103,3187,1306,3583,1304,3187,3583
11001007707,140,11,001,47900,548,,,Census Tract 77.07,3867,1721,3796,1684,3867,3796
11001010100,140,11,001,47900,548,,,Census Tract 101,2621,2067,1543,1222,2621,1543
11001004002,140,11,001,47900,548,,,Census Tract 40.02,2797,1916,2778,1831,2797,2778
11001007903,140,11,001,47900,548,,,Census Tract 79.03,1774,880,1840,938,1774,1840
